20-08-06 20:39:41.195 -05	0534	TRC:	IX Rx (16002841): FIB {"IxType":"ix_lgm_power_rsp","IxID":16002841,"power_mw":713500,"Exception":"ix_exception_id_success","Message":""} for gateway 31547926	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.196 -05	0550	INF:	===================  ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.197 -05	0394	TRC:	IX Rx (16002842): FIB {"IxType":"ix_lgm_power_rsp","IxID":16002842,"power_mw":1083900,"Exception":"ix_exception_id_success","Message":""} for gateway 46797803	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.198 -05	0314	INF:	===================  ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.209 -05	0305	TRC:	IX Rx (16002840): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16002840,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.212 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #9 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.214 -05	0307	INF:	=================== Log Compass metrics per cycle ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.215 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #9, CompleteCycleReuse, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.215 -05	0311	INF:	=================== Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.217 -05	0386	INF:	=================== Analytics log sensors for cycle ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.222 -05	0386	INF:	===================  ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.223 -05	0534	INF:	=================== Analytics log LGM stats ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.225 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #9, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.227 -05	0414	INF:	Recipe pump valve reagents are being used to override position 22 to recipe name B from machine location B	-- ChemistryItem.cs,	GetPumpValveSolutionKey,	88
20-08-06 20:39:41.227 -05	0534	INF:	=================== Analytics log LGM stats, Log analytics LGM laser temperature, power and current ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.231 -05	0386	INF:	=================== AnalyticsLogLgmLaserPowerCurrent ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.235 -05	0140	INF:	=================== AnalyticsLogLgmLaserPowerCurrent ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.236 -05	0386	INF:	=================== AnalyticsLogLgmLaserPowerCurrent, GetLaserStatusCommand Red Laser ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.238 -05	0140	INF:	=================== AnalyticsLogLgmLaserPowerCurrent, GetLaserStatusCommand Green Laser ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.240 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #9, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Changing common line to B 22 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.237 -05	0386	TRC:	IX Tx (16002846): FIB {"IxType":"ix_lgm_status_get","laser":"ix_lgm_laser_red","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_status_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002846} sent for gateway 31547926	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.239 -05	0140	TRC:	IX Tx (16002848): FIB {"IxType":"ix_lgm_status_get","laser":"ix_lgm_laser_green","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_status_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002848} sent for gateway 46797803	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.242 -05	0414	TRC:	IX Tx (16002849): RCALeft {"IxType":"ix_valve_set_position","valve":"clsv","position":22,"ResponseType":"Illumina.Novaseq.IX.Rca.ix_valve_set_position_rsp, Illumina.Novaseq.IX.Rca, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002849} sent for gateway 47887863	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.255 -05	0175	TRC:	IX Rx (16002849): RCALeft {"IxType":"ix_valve_set_position_rsp","IxID":16002849,"expected_counts":0,"actual_counts":0,"retry_count":0,"Exception":"ix_exception_id_success","Message":""} for gateway 47887863	-- IxGateway.cs,	NotifyListeners,	127
